"","Unit","Date.sample","Female","Repro.State","Estrogen.ng.g","log.Estrogen","Takeover.period","ID.takeover","Date.takeover","Nb.days.relative.takeover","Infant","Age.takeover","Age.takeover.cat","Age.sample","Age.sample.cat","Laboratory","Wash.step","Avg.temperature","Cumulative.rainfall"
"303","C","2007-11-15","F55","Lac",4.05,0.607455023214668,"before","TO37","2008-01-29",-75,"M123",4.88524590163934,"0-6 months",2.42622950819672,"0-6 months","UM","sodium azide",6.22258064516129,447.1
"304","V","2016-07-01","F236","Lac",0.77,-0.113509274827518,"before","TO46","2016-07-12",-11,"M145",12.6885245901639,"12-18 months",12.327868852459,"12-18 months","UM","sodium azide",9.33333333333333,656
"305","V","2016-07-14","F236","Lac",2.01,0.303196057420489,"after","TO46","2016-07-12",2,"M145",12.6885245901639,"12-18 months",12.7540983606557,"12-18 months","UM","sodium azide",8.28333333333333,831.5
"306","V","2016-07-25","F236","Cyc",9.02,0.955206537541942,"after","TO46","2016-07-12",13,"M145",12.6885245901639,"12-18 months",13.1147540983607,"12-18 months","UM","sodium azide",8.39666666666667,957.4
"307","V","2016-05-04","F236","Lac",0.96,-0.0177287669604316,"before","TO46","2016-07-12",-69,"M145",12.6885245901639,"12-18 months",10.4262295081967,"6-12 months","UM","sodium azide",10.83,110.8
"308","V","2011-02-22","F221","Lac",6.72,0.827369273053825,"after","TO49","2011-02-18",4,"M139",12.7540983606557,"12-18 months",12.8852459016393,"12-18 months","UM","20% methanol",7.85161290322581,0
"309","V","2011-03-10","F221","Cyc",7.4,0.869231719730976,"after","TO49","2011-02-18",20,"M139",12.7540983606557,"12-18 months",13.4098360655738,"12-18 months","UM","20% methanol",9.02857142857143,0
"310","V","2010-05-15","F221","Lac",2.29,0.359835482339888,"before","TO49","2011-02-18",-279,"M139",12.7540983606557,"12-18 months",3.60655737704918,"0-6 months","UM","sodium azide",9.21333333333333,221.8
"311","V","2011-02-18","F221","Lac",2.17,0.33645973384853,"after","TO49","2011-02-18",0,"M139",12.7540983606557,"12-18 months",12.7540983606557,"12-18 months","UM","20% methanol",7.45483870967742,0
"312","V","2011-03-03","F221","Lac",14.86,1.17201880942456,"after","TO49","2011-02-18",13,"M139",12.7540983606557,"12-18 months",13.1803278688525,"12-18 months","UM","20% methanol",8.48571428571429,0
