"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"195","M2","F152","F140","2017-08-28","mother swells","2019-03-25",18.8196721311475,"F","multi","No takeover",NA,NA,NA,"conservative"
"196","R","F192","M14","2009-01-26","mother swells","2010-04-05",14.2295081967213,"M","multi","No takeover",NA,NA,NA,"conservative"
"197","Z","F255","M153","2007-04-22","mother swells","2008-05-30",13.2459016393443,"M","multi","No takeover",NA,NA,NA,"conservative"
"198","J1","F111","M75","2015-10-07","mother swells","2018-03-01",28.7213114754098,"M","multi","No takeover",NA,NA,NA,"conservative"
"199","V","F240","M56","2012-02-24","mother swells","2014-03-18",24.6885245901639,"M","multi","No takeover",NA,NA,NA,"conservative"
"200","V","F240","M140","2007-12-01","mother swells","2009-04-01",15.9672131147541,"M","multi","No takeover",NA,NA,NA,"conservative"
"201","Z","F258","F259","2011-08-30","mother swells","2013-04-10",19.3114754098361,"F","multi","No takeover",NA,NA,NA,"conservative"
"202","N","F176","F175","2017-06-02","mother swells","2018-06-30",12.8852459016393,"F","multi","No takeover",NA,NA,NA,"conservative"
"203","N","F178","M101","2014-10-04","mother swells","2016-04-11",18.1967213114754,"M","multi","No takeover",NA,NA,NA,"conservative"
"204","H2","F103","M65","2009-09-14","mother swells","2011-02-08",16.7868852459016,"M","multi","No takeover",NA,NA,NA,"conservative"
"205","Z5","F252","M152","2015-09-15","mother swells","2016-06-21",9.18032786885246,"M","multi","No takeover",NA,NA,NA,"conservative"
"206","V","F220","M131","2011-12-20","mother swells","2014-04-15",27.7704918032787,"M","multi","No takeover",NA,NA,NA,"conservative"
"207","V","F232","F238","2014-09-17","mother swells","2016-03-22",18.0983606557377,"F","multi","No takeover",NA,NA,NA,"conservative"
"208","M1","F163","M94","2014-12-08","mother swells","2016-05-02",16.7540983606557,"M","multi","No takeover",NA,NA,NA,"conservative"
"209","Z","F255","F250","2012-04-01","mother swells","2013-04-17",12.4918032786885,"F","multi","No takeover",NA,NA,NA,"conservative"
"210","T","F216","F206","2013-08-18","mother swells","2015-05-18",20.9180327868852,"F","multi","No takeover",NA,NA,NA,"conservative"
"211","R","F192","F186","2007-03-12","mother swells","2008-05-19",14.2295081967213,"F","multi","No takeover",NA,NA,NA,"conservative"
"212","V","F220","F225","2014-11-30","mother swells","2016-04-14",16.4262295081967,"F","multi","No takeover",NA,NA,NA,"conservative"
"213","V","F230","M137","2013-07-15","mother swells","2015-05-18",22.0327868852459,"M","primi","No takeover",NA,NA,NA,"conservative"
"214","V","F230","F224","2018-03-22","mother swells","2020-03-02",23.3114754098361,"F","multi","No takeover",NA,NA,NA,"conservative"
"215","V","F235","M147","2012-06-11","mother swells","2014-03-31",21.5737704918033,"M","primi","No takeover",NA,NA,NA,"conservative"
"216","T","F198","M122","2013-08-31","mother swells","2015-04-14",19.3770491803279,"M","multi","No takeover",NA,NA,NA,"conservative"
"217","V","F221","F234","2013-12-25","mother swells","2016-02-22",25.8688524590164,"F","multi","No takeover",NA,NA,NA,"conservative"
"218","Z","F248","M150","2009-01-08","mother swells","2010-04-09",14.9508196721311,"M","multi","No takeover",NA,NA,NA,"conservative"
