"","Unit","Female","Infant","Date.birth","Event.end","Date.end","Time.to.swell","Sex.infant","Parity","Takeover.before.swelling","Date.takeover","ID.takeover","Age.takeover","Dataset"
"28","H","F94","F95","2007-01-03","mother swells","2007-04-17",3.40983606557377,"F","multi","Takeover","2007-02-26","TO17",1.77049180327869,"conservative"
"29","H","F92","F93","2006-12-04","mother swells","2007-05-19",5.44262295081967,"F","multi","Takeover","2007-02-26","TO17",2.75409836065574,"conservative"
"30","G","F89","M18","2007-11-24","mother swells","2009-10-28",23.0819672131148,"M","primi","Takeover","2009-10-19","TO19",22.7868852459016,"conservative"
"31","G","F91","F86","2007-10-24","mother swells","2009-10-29",24.1311475409836,"F","primi","Takeover","2009-10-19","TO19",23.8032786885246,"conservative"
"32","B","F18","F26","2009-02-16","mother swells","2009-09-18",7.01639344262295,"F","primi","Takeover","2009-07-24","TO20",5.18032786885246,"conservative"
"33","T","F207","M124","2018-01-23","mother swells","2018-04-06",2.39344262295082,"M","multi","Takeover","2018-01-21","TO22",-0.0655737704918033,"conservative"
"34","C3","F46","M21","2013-03-17","mother swells","2013-09-13",5.9016393442623,"M","primi","Takeover","2013-09-05","TO23",5.63934426229508,"conservative"
"35","C3","F43","M20","2013-01-29","mother swells","2013-11-25",9.83606557377049,"M","multi","Takeover","2013-09-05","TO23",7.18032786885246,"conservative"
"36","N","F174","M100","2008-12-13","mother swells","2011-01-25",25.344262295082,"M","multi","Takeover","2011-01-13","TO25",24.9508196721311,"conservative"
"37","B","F20","F22","2008-11-13","mother swells","2009-07-26",8.36065573770492,"F","multi","Takeover","2009-07-24","TO26",8.29508196721311,"conservative"
"38","K","F114","F116","2012-11-10","mother swells","2014-04-05",16.7540983606557,"F","multi","Takeover","2014-03-24","TO28",16.3606557377049,"conservative"
"39","B1","F29","F15","2014-05-25","mother swells","2016-01-16",19.7049180327869,"F","multi","Takeover","2016-01-16","TO31",19.7049180327869,"uncertain"
"40","B1","F21","M16","2014-10-02","mother swells","2016-01-16",15.4426229508197,"M","multi","Takeover","2016-01-16","TO31",15.4426229508197,"uncertain"
"41","B1","F33","F32","2014-07-13","mother swells","2016-01-16",18.0983606557377,"F","primi","Takeover","2016-01-16","TO31",18.0983606557377,"uncertain"
"42","B1","F30","M17","2015-10-17","mother swells","2016-02-11",3.83606557377049,"M","multi","Takeover","2016-01-16","TO31",2.98360655737705,"conservative"
"43","J","F111","M76","2009-07-19","mother swells","2011-04-18",20.9180327868852,"M","primi","Takeover","2011-03-24","TO34",20.0983606557377,"conservative"
"44","J","F110","M77","2009-11-19","mother swells","2011-04-18",16.8852459016393,"M","multi","Takeover","2011-03-24","TO34",16.0655737704918,"conservative"
"45","C","F55","M123","2007-09-02","mother swells","2008-01-25",4.75409836065574,"M","multi","Takeover","2008-01-29","TO37",4.88524590163934,"conservative"
"46","C","F39","M107","2007-12-22","mother swells","2008-03-10",2.59016393442623,"M","multi","Takeover","2008-01-29","TO37",1.24590163934426,"conservative"
"47","C","F52","M22","2006-10-25","mother swells","2008-01-25",14.983606557377,"M","multi","Takeover","2008-01-29","TO37",15.1147540983607,"conservative"
"48","C","F42","M121","2007-01-16","mother swells","2008-01-26",12.2950819672131,"M","multi","Takeover","2008-01-29","TO37",12.3934426229508,"conservative"
"49","C","F54","M130","2007-12-13","mother swells","2008-03-19",3.18032786885246,"M","primi","Takeover","2008-01-29","TO37",1.54098360655738,"conservative"
"50","C","F53","M110","2007-07-19","mother swells","2008-03-26",8.22950819672131,"M","multi","Takeover","2008-01-29","TO37",6.36065573770492,"conservative"
"51","H","F101","M126","2008-01-15","mother swells","2008-03-25",2.29508196721311,"M","primi","Takeover","2008-03-26","TO38",2.32786885245902,"uncertain"
"52","H","F100","F107","2008-02-05","mother swells","2008-05-16",3.31147540983607,"F","multi","Takeover","2008-03-26","TO38",1.63934426229508,"conservative"
"53","A","F8","M5","2013-11-03","mother swells","2015-04-14",17.2786885245902,"M","primi","Takeover","2015-03-18","TO41",16.3934426229508,"conservative"
"54","A","F4","M7","2014-02-26","mother swells","2015-04-03",13.1475409836066,"M","multi","Takeover","2015-03-18","TO41",12.6229508196721,"conservative"
"55","A","F5","M6","2013-09-29","mother swells","2015-04-14",18.4262295081967,"M","multi","Takeover","2015-03-18","TO41",17.5409836065574,"conservative"
"56","A","F7","M4","2014-03-08","mother swells","2015-03-25",12.5245901639344,"M","multi","Takeover","2015-03-18","TO41",12.2950819672131,"conservative"
"57","M","F168","M86","2010-09-23","mother swells","2011-10-25",13.016393442623,"M","primi","Takeover","2011-08-15","TO43",10.6885245901639,"conservative"
"58","M","F155","M138","2011-09-24","mother swells","2012-06-11",8.55737704918033,"M","multi","Takeover","2011-08-15","TO43",-1.31147540983607,"conservative"
"59","M","F148","F138","2010-10-18","mother swells","2011-08-30",10.3606557377049,"F","multi","Takeover","2011-08-15","TO43",9.86885245901639,"conservative"
"60","M","F163","M3","2010-09-21","mother swells","2011-08-30",11.2459016393443,"M","primi","Takeover","2011-08-15","TO43",10.7540983606557,"conservative"
"61","M","F152","F139","2010-10-05","mother swells","2011-08-30",10.7868852459016,"F","multi","Takeover","2011-08-15","TO43",10.2950819672131,"conservative"
"62","M","F145","M106","2010-10-21","mother swells","2011-10-01",11.3114754098361,"M","primi","Takeover","2011-08-15","TO43",9.77049180327869,"conservative"
"63","M1","F163","M92","2012-10-29","mother swells","2013-06-19",7.63934426229508,"M","multi","Takeover","2013-02-25","TO44",3.90163934426229,"conservative"
"64","M1","F148","F156","2012-12-03","mother swells","2013-06-05",6.0327868852459,"F","multi","Takeover","2013-02-25","TO44",2.75409836065574,"conservative"
"65","O","F181","F183","2012-11-14","mother swells","2014-05-03",17.5409836065574,"F","multi","Takeover","2012-11-24","TO45",0.327868852459016,"conservative"
"66","V","F236","M145","2015-06-21","mother swells","2016-07-18",12.8852459016393,"M","primi","Takeover","2016-07-12","TO46",12.6885245901639,"conservative"
"67","A","F6","F3","2015-09-30","mother swells","2016-05-31",8,"F","primi","Takeover","2016-03-31","TO48",6,"conservative"
"68","V","F220","M143","2009-08-08","mother swells","2011-03-03",18.7540983606557,"M","multi","Takeover","2011-02-18","TO49",18.327868852459,"conservative"
"69","V","F240","F222","2009-10-13","mother swells","2011-03-03",16.5901639344262,"F","multi","Takeover","2011-02-18","TO49",16.1639344262295,"conservative"
"70","V","F221","M139","2010-01-25","mother swells","2011-03-09",13.3770491803279,"M","multi","Takeover","2011-02-18","TO49",12.7540983606557,"conservative"
"71","M","F155","F167","2009-02-01","mother swells","2010-04-15",14.3606557377049,"F","multi","Takeover","2010-01-31","TO50",11.9344262295082,"conservative"
"72","M","F142","M88","2009-02-03","mother swells","2010-04-15",14.2950819672131,"M","multi","Takeover","2010-01-31","TO50",11.8688524590164,"conservative"
"73","M","F161","M41","2008-12-12","mother swells","2010-04-15",16.0327868852459,"M","primi","Takeover","2010-01-31","TO50",13.6065573770492,"conservative"
